C1orf112,C1orf112
SELL,SELL
SCYL3,SCYL3
GORAB,GORAB
METTL13,METTL13
FASLG,FASLG
CENPL,CENPL
ZBTB37,ZBTB37
ABL2,ABL2
GLUL,GLUL
RGS16,RGS16
COLGALT2,COLGALT2
C1orf21,C1orf21
TRMT1L,TRMT1L
SWT1,SWT1
RGS1,RGS1
RGS2,RGS2
B3GALT2,B3GALT2
CFH,CFH
KIF21B,KIF21B
PHLDA3,PHLDA3
LGR6,LGR6
UBE2T,UBE2T
KDM5B,KDM5B
BTG2,BTG2
LAX1,LAX1
PPP1R15B,PPP1R15B
PIK3C2B,PIK3C2B
RBBP5,RBBP5
DSTYK,DSTYK
MAPKAPK2,MAPKAPK2
IL10,IL10
FCMR,FCMR
CD55,CD55
HHAT,HHAT
INTS7,INTS7
CENPF,CENPF
GPATCH2,GPATCH2
BPNT1,BPNT1
TAF1A,TAF1A
TP53BP2,TP53BP2
FBXO28,FBXO28
NVL,NVL
SDE2,SDE2
ZNF678,ZNF678
JMJD4,JMJD4
OBSCN,OBSCN
HIST3H2A,HIST3H2A
GALNT2,GALNT2
TTC13,TTC13
ARV1,ARV1
EXOC8,EXOC8
LYST,LYST
EDARADD,EDARADD
HEATR1,HEATR1
CHRM3-AS2,CHRM3-AS2
AKT3,AKT3
SMYD3,SMYD3
ZNF669,ZNF669
SH3BP5L,SH3BP5L
ZNF692,ZNF692
PGBD2,PGBD2
SH3YL1,SH3YL1
RNASEH1-AS1,RNASEH1-AS1
RSAD2,RSAD2
RNF144A,RNF144A
ID2,ID2
TAF1B,TAF1B
NOL10,NOL10
ROCK2,ROCK2
SMC6,SMC6
LINC00954,LINC00954
TTC32,TTC32
WDR35,WDR35
RHOB,RHOB
LDAH,LDAH
ATAD2B,ATAD2B
FAM228B,FAM228B
ADCY3,ADCY3
DNAJC27,DNAJC27
DTNB,DTNB
SLC5A6,SLC5A6
CAD,CAD
KRTCAP3,KRTCAP3
IFT172,IFT172
RBKS,RBKS
FOSL2,FOSL2
CLIP4,CLIP4
LBH,LBH
LCLAT1,LCLAT1
TTC27,TTC27
FAM98A,FAM98A
CRIM1,CRIM1
STRN,STRN
GPATCH11,GPATCH11
NDUFAF7,NDUFAF7
PRKD3,PRKD3
HNRNPLL,HNRNPLL
ZFP36L2,ZFP36L2
CAMKMT,CAMKMT
SRBD1,SRBD1
ATP6V1E2,ATP6V1E2
SOCS5,SOCS5
MSH2,MSH2
SPTBN1,SPTBN1
PNPT1,PNPT1
BCL11A,BCL11A
REL,REL
PUS10,PUS10
PEX13,PEX13
KIAA1841,KIAA1841
FAM161A,FAM161A
B3GNT2,B3GNT2
WDPCP,WDPCP
ETAA1,ETAA1
PLEK,PLEK
FBXO48,FBXO48
GFPT1,GFPT1
GMCL1,GMCL1
C2orf42,C2orf42
PCYOX1,PCYOX1
PAIP2B,PAIP2B
EXOC6B,EXOC6B
RAB11FIP5,RAB11FIP5
SMYD5,SMYD5
ALMS1,ALMS1
BOLA3-AS1,BOLA3-AS1
CCDC142,CCDC142
SEMA4F,SEMA4F
GCFC2,GCFC2
TRABD2A,TRABD2A
KCMF1,KCMF1
RETSAT,RETSAT
CAPG,CAPG
GNLY,GNLY
KDM3A,KDM3A
CD8A,CD8A
CD8B,CD8B
AC133644.2,AC133644.2
RGPD2,RGPD2
AC062029.1,AC062029.1
IGKC,IGKC
MAL,MAL
ZNF2,ZNF2
LINC00342,LINC00342
ANKRD36C,ANKRD36C
DUSP2,DUSP2
ITPRIPL1,ITPRIPL1
KANSL3,KANSL3
CNNM3,CNNM3
ANKRD39,ANKRD39
SEMA4C,SEMA4C
FAHD2B,FAHD2B
ANKRD36,ANKRD36
ANKRD36B,ANKRD36B
TSGA10,TSGA10
LIPT1,LIPT1
IL1R2,IL1R2
IL18R1,IL18R1
IL18RAP,IL18RAP
TGFBRAP1,TGFBRAP1
NCK2,NCK2
LIMS1,LIMS1
BCL2L11,BCL2L11
MIR4435-2HG,MIR4435-2HG
FBLN7,FBLN7
ZC3H6,ZC3H6
POLR1B,POLR1B
IL1B,IL1B
RABL2A,RABL2A
MARCO,MARCO
TMEM177,TMEM177
EPB41L5,EPB41L5
CLASP1,CLASP1
NIFK-AS1,NIFK-AS1
SFT2D3,SFT2D3
SAP130,SAP130
MGAT5,MGAT5
MCM6,MCM6
CXCR4,CXCR4
GTDC1,GTDC1
ZEB2,ZEB2
KIF5C,KIF5C
RBM43,RBM43
NR4A2,NR4A2
ACVR1C,ACVR1C
ACVR1,ACVR1
PKP4,PKP4
WDSUB1,WDSUB1
DPP4,DPP4
IFIH1,IFIH1
COBLL1,COBLL1
TTC21B,TTC21B
STK39,STK39
FASTKD1,FASTKD1
METTL8,METTL8
DCAF17,DCAF17
METAP1D,METAP1D
ITGA6,ITGA6
PDK1,PDK1
CDCA7,CDCA7
CHN1,CHN1
RBM45,RBM45
TTN-AS1,TTN-AS1
TTN,TTN
CCDC141,CCDC141
ITGA4,ITGA4
NCKAP1,NCKAP1
NUP35,NUP35
SLC40A1,SLC40A1
ANKAR,ANKAR
OSGEPL1,OSGEPL1
PMS1,PMS1
MFSD6,MFSD6
NEMP2,NEMP2
STAT1,STAT1
PGAP1,PGAP1
MARS2,MARS2
PLCL1,PLCL1
C2orf69,C2orf69
KCTD18,KCTD18
ORC2,ORC2
CASP10,CASP10
CASP8,CASP8
WDR12,WDR12
CARF,CARF
CTLA4,CTLA4
ZDBF2,ZDBF2
PLEKHM3,PLEKHM3
IKZF2,IKZF2
SPAG16,SPAG16
BARD1,BARD1
FN1,FN1
PECR,PECR
TMEM169,TMEM169
SLC11A1,SLC11A1
USP37,USP37
ZNF142,ZNF142
CYP27A1,CYP27A1
CHPF,CHPF
EPHA4,EPHA4
SGPP2,SGPP2
WDFY1,WDFY1
SERPINE2,SERPINE2
ITM2C,ITM2C
NMUR1,NMUR1
DIS3L2,DIS3L2
ATG16L1,ATG16L1
DGKD,DGKD
TRAF3IP1,TRAF3IP1
ASB1,ASB1
HDAC4,HDAC4
ANKMY1,ANKMY1
DUSP28,DUSP28
PASK,PASK
D2HGDH,D2HGDH
PDCD1,PDCD1
RTP5,RTP5
BHLHE40-AS1,BHLHE40-AS1
BHLHE40,BHLHE40
RAD18,RAD18
PRRT3,PRRT3
FANCD2,FANCD2
TATDN2,TATDN2
TAMM41,TAMM41
TSEN2,TSEN2
NUP210,NUP210
HDAC11,HDAC11
WNT7A,WNT7A
NR2C2,NR2C2
SH3BP5-AS1,SH3BP5-AS1
METTL6,METTL6
COLQ,COLQ
BTD,BTD
ANKRD28,ANKRD28
OXNAD1,OXNAD1
PLCL2,PLCL2
SATB1,SATB1
NKIRAS1,NKIRAS1
OXSM,OXSM
EOMES,EOMES
CMC1,CMC1
OSBPL10,OSBPL10
GPD1L,GPD1L
CCR4,CCR4
